Table S1. Information of taxon sampling in this study.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sequencing_ID,SRA_accession,Subfamily,Tribe,Genus,Subgenus,Species,Identified_by,Gap% in the concatenated nt alignment,Gap% in the concatenated aa alignment,Host,Collection_date,Collection_locality,Altitude
P006_WF10,SRR17213481,Deltocephalinae,Limotettigini,Scleroracus,-,frigidus,Christopher H. Dietrich,3.80%,3.80%,-,27-Oct-2005,"Mexico: Durango, Rt. 34 km 39, 8 km E Nazas",1130m
P011_WF06,SRR17213470,Deltocephalinae,Limotettigini,Limotettix,Neodrylix,urnura,James N. Zahniser,5.60%,5.60%,-,Aug-1993,"USA: Wisconsin, Sauk County",-
P014_WG03,SRR17213088,Deltocephalinae,Limotettigini,Ophiolix,-,cuneatus,Christopher H. Dietrich,2.30%,2.20%,-,02-Jul-2020,"USA: Illinois, Mason County, Sand Ridge State Forest",-
P015_WB04,SRR17213077,Deltocephalinae,Limotettigini,Limotettix,Neodrylix,truncatus,Christopher H. Dietrich,3.50%,3.50%,-,13-Mar-2015,"Brazil: Minas Gerais, Santuariodo Caraca",1300m
P015_WF10,SRR17212898,Deltocephalinae,Limotettigini,Limotettix,Limotettix,striola,Christopher H. Dietrich,2.80%,2.80%,-,08-Jun-2018,"Mexico: Chihuahua, Jimenez, Aguas Termales Las Pampas",1345m
P002_WC03,SRR17212887,Deltocephalinae,Eupelicini,Paradorydium,-,menalus,Christopher H. Dietrich,4.60%,4.60%,-,26-Feb-2015,"Australia: Queensland, Gillies Hwy. Robson's Track overlook",283m
P002_WE03,SRR17213212,Deltocephalinae,Eupelicini,Eupelix,-,cuspidata,Christopher H. Dietrich,4.90%,4.90%,-,25-May-2008/05-Jun-2008,"Spain: Catalunya, Prorat, Mother's Gargen",350m
P004_WD08,SRR17213201,Deltocephalinae,Eupelicini,Chloropelix,-,sp.,James N. Zahniser,8.90%,8.90%,Poaceae,21-Aug-2005,"Portugal: Vila da Calheta, Madeira Island",-
P005_WG07,SRR17213190,Deltocephalinae,Eupelicini,Mapochiella,-,woodwardi,Christopher H. Dietrich,4.30%,4.30%,Spinifex,19-Nov-2011,"Australia: Western Australia, 49 km SW Great Northern Hwy on Gibb River Road",-
P011_WA05,SRR17213059,Deltocephalinae,Eupelicini,Paradorydium,Paradorydium,angolense,Christopher H. Dietrich,4.60%,4.60%,grass,05-Nov-2007,"Zambia: Northwestern Prov., ~28.5 km N Mwinilunga",1384m
P011_WB04,SRR17213048,Deltocephalinae,Eupelicini,Paradorydium,-,reflexanum,Christopher H. Dietrich,3.80%,3.80%,-,26-Mar-2007/02-Apr-2007,"Thailand: Loei, Phu Ruea National Park Nature trail",1353m
P014_WB10,SRR17212869,Deltocephalinae,Eupelicini,Paradorydium,-,pseudolyricen,Christopher H. Dietrich,1.30%,1.30%,-,2010,"Australia: Western Australia, ~4km S of Bolgart. Syred Rd Jct",-
P004_WB07,SRR17212857,Deltocephalinae,Vartini,Xenovarta,-,cylindrica,James N. Zahniser,3.50%,3.50%,-,14-Jan-2007/21-Jan-2007,"Thailand: Ubon Ratchathani, Pha Taem NP Rong Hi Noy",240m
P004_WB08,SRR17213182,Deltocephalinae,Athysanini,Afrovarta,-,angelae,James N. Zahniser,3.20%,3.20%,-,15-Mar-2009/30-Mar-2009,"Cameroon : Southwest, Korup National Park, nature trail along river to near camp",-
P004_WD11,SRR17213171,Deltocephalinae,Vartini,Stymphalus,-,rubrolineatus,James N. Zahniser,3.90%,3.90%,-,15-Dec-2004,"South Africa: Western Cape Prov., Paarl-Franschhoek, route R44",141m
P006_WB10,SRR17213458,Deltocephalinae,Vartini,n.gen.,-,n.sp.,Christopher H. Dietrich,7.80%,7.80%,-,18-Apr-2007/25-Apr-2007,"Thailand: Ubon Ratchathani Pha Taem National Park, west of HuayPok substation",438m
