Table S1. Information of taxon sampling in this study.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sequencing_ID,SRA_accession,Subfamily,Tribe,Genus,Subgenus,Species,Identified_by,Gap% in the concatenated nt alignment,Gap% in the concatenated aa alignment,Host,Collection_date,Collection_locality,Altitude
P004_WC08,SRR17213241,Deltocephalinae,Selenocephalini,Dwightla,-,acutipennis,James N. Zahniser,4.00%,4.00%,-,15-Mar-2009/30-Mar-2009,"Cameroon: Southwest, nr. Korup National Park at bridge over river",-
P004_WC12,SRR17213239,Deltocephalinae,Selenocephalini,Abimwa,-,sp.,James N. Zahniser,5.30%,5.30%,-,05-Nov-2007,"Zambia: Northwestern Prov., ~15 km N Mwinilunga, Lwakera National Forest",1445m
P004_WE07,SRR17213238,Deltocephalinae,Selenocephalini,Selenocephalus,-,deserticola,James N. Zahniser,3.60%,3.50%,-,01-Jun-2004/8-Jun-2004,"Israel: Negvev, 4 km NE Sde Boqer",-
P007_WA10,SRR17213165,Deltocephalinae,Selenocephalini,Distantia,-,n.sp.,Christopher H. Dietrich,3.70%,3.60%,-,07-Jun-2005,"Ghana: Western Region, Ankasa Resource Reserve, Nkwanta Camp",-
P007_WD02,SRR17213164,Deltocephalinae,Selenocephalini,Sapoba,-,sudana,Christopher H. Dietrich,7.90%,7.80%,-,17-Mar-2009/30-Mar-2009,"Cameroon: Adamaoua, Mbam et Djerem National Park, Camp Ganga",-
P009_WD03,SRR17213163,Deltocephalinae,Selenocephalini,Adama,Krisnella,elongata,Christopher H. Dietrich,7.00%,6.90%,-,19-Apr-2006/01-May-2006,"Zambia: Copperbelt Province, Kitwe District, Kumasamba Lodge nr. Kafue River",-
P011_WA02,SRR17213162,Deltocephalinae,Selenocephalini,Adama,Paracostemma,n.sp.,Christopher H. Dietrich,8.70%,8.70%,-,05-Nov-2007/09-Nov-2007,"Zambia: Northwestern Prov., nr. Mwinilunga",1448m
P012_WD07,SRR17213161,Deltocephalinae,Selenocephalini,Citorus,-,n.sp.,Christopher H. Dietrich,4.50%,4.50%,-,19-Apr-2006/01-May-2006,"Zambia: Copperbelt Province, Kitwe District, Kumasamba Lodge nr. Kafue River",-
P001_WA04,SRR17213160,Deltocephalinae,Stenometopiini,Stirellus,-,sagittarius,Christopher H. Dietrich,4.10%,4.10%,-,Jan-2009,Swaziland: Mlawula Nature Reserve,-
P002_WC04,SRR17213159,Deltocephalinae,Stenometopiini,Hodoedocus,-,bunyensis,Christopher H. Dietrich,4.70%,4.70%,-,26-Feb-2015,"Australia: Queensland, Gillies Hwy. W Cairns",662m
P002_WC05,SRR17213158,Deltocephalinae,Stenometopiini,Stirellus,-,mitis,Christopher H. Dietrich,4.60%,4.60%,-,23-Feb-2015,"Australia: Queensland, Strandbroke Isl. Brown Lake",66m
P002_WE07,SRR17213156,Deltocephalinae,Stenometopiini,Stirellus,-,productus,Christopher H. Dietrich,2.90%,2.80%,grass,08-Sept-2015,"China: Sichuan, Nanchong",303m
P004_WC01,SRR17213155,Deltocephalinae,Stenometopiini,Doratulina,Doratulina,dmitrievi,James N. Zahniser,3.70%,3.70%,-,Nov-2007,"Zambia: Northwestern Prov., ~28.5 km N Mwinilunga, Chitunta plain grassland",-
P004_WF03,SRR17213154,Deltocephalinae,Stenometopiini,Stirellus,-,labiatus,James N. Zahniser,7.30%,7.30%,-,19-Oct-2001,"Mexico: Jalisco, 7km  W Ojuelos de Jalisco",2260m
P004_WF04,SRR17213153,Deltocephalinae,Stenometopiini,Stirellus,-,bicolor,James N. Zahniser,9.50%,9.40%,-,13-Oct-2001,"Mexico: Jalisco, 13km ESE Tuxcacuesco",900m
P011_WA01,SRR17213152,Deltocephalinae,Stenometopiini,Hodoedocus,-,n.sp.,Christopher H. Dietrich,7.80%,7.70%,-,06-Nov-2007,"Zambia: Northwestern Prov., Mwinilunga",-
P011_WA04,SRR17213151,Deltocephalinae,Stenometopiini,Stirellus,-,flavovirescens,Christopher H. Dietrich,9.50%,9.50%,-,15-Mar-2009/30-Mar-2009,"Cameroon: Adamaoua, Mbam et Djerem National Park",-
P011_WB01,SRR17213150,Deltocephalinae,Stenometopiini,Stirellus,-,dixianus,Christopher H. Dietrich,8.60%,8.60%,-,25-Oct-2005,"Mexico: Zacatecas, 10.4km NW Vasco de Quiroga",2500m
P011_WB03,SRR17213149,Deltocephalinae,Stenometopiini,Stirellus,-,grandis,Christopher H. Dietrich,2.50%,2.50%,-,12-Jul-2012,"China: Shaanxi, 8km ENE Chenhexiang",660m
P011_WD06,SRR17213148,Deltocephalinae,Stenometopiini,Stirellus,-,rubrolineatus,Christopher H. Dietrich,2.10%,2.10%,-,08-Jul-2019,"Vietnam: Ninh Binh, Cuc Phuong National Park center",-
P011_WD08,SRR17213147,Deltocephalinae,Stenometopiini,Stirellus,-,neospeciosus,Christopher H. Dietrich,2.70%,2.70%,-,08-Jul-2019,"Vietnam: Ninh Binh, Cuc Phuong National Park center",370m
P006_WD12,SRR17213145,Deltocephalinae,Stenometopiini,Stirellus,-,kitwensis,Christopher H. Dietrich,7.10%,7.10%,-,27-Dec-2004,"South Africa: KwaZulu-Natal Prov., Arthurs Seat hill",-
P011_WG06,SRR17213144,Deltocephalinae,Stenometopiini,Stirellus,-,picinus,James N. Zahniser,8.10%,8.10%,-,31-May-1996,"Brazil: Goias, Uruacu",-
P014_WG08,SRR17213143,Deltocephalinae,Stenometopiini,Stirellus,-,yeongnamensis,Christopher H. Dietrich,6.30%,6.20%,-,20-Jun-2004,"China: Taiwan, Taichung, Wufeng, Taiwan Agricultural Research Institute",200m
P014_WG09,SRR17213142,Deltocephalinae,Stenometopiini,Stirellus,-,indra,Christopher H. Dietrich,9.60%,9.50%,-,20-Jun-2004,"China: Taiwan, Taichung, Wufeng, Taiwan Agricultural Research Institute",-
P001_WC02,SRR17213141,Deltocephalinae,Cicadulini,Knullana,-,huachuca,Christopher H. Dietrich,4.90%,4.90%,-,27-Oct-2005,"Mexico: Durango, rt.45 km 121 ca. Francisco Primo Verdad",1590m
P001_WD02,SRR17213140,Deltocephalinae,Cicadulini,Rhopalopyx,-,vitripennis,Christopher H. Dietrich,14.40%,14.40%,-,30-Jun-2010 ,France: Mt. Ventoux,-
P001_WE05,SRR17213139,Deltocephalinae,Cicadulini,Cicadula,Cicadula,saliens,Christopher H. Dietrich,3.50%,3.50%,-,29-Jun-2016,"USA: Wisconsin, Burnett County, 7.1 km E Rush City, Minnesota",-
P001_WG05,SRR17213138,Deltocephalinae,Cicadulini,Elymana,-,emeljanovi,Christopher H. Dietrich,3.00%,3.00%,-,18-Jul-2012,"China: Shaanxi, Jialing River Source Park",2300m
P004_WC09,SRR17213137,Deltocephalinae,Cicadulini,Proceps,-,acicularis,James N. Zahniser,4.60%,4.70%,-,30-Jun-2010,"France: Provence-Alpes-Cote d'Azur, Vaucluse, Foret Dominiale de Beaumont-du-Ventoux",-
P005_WD11,SRR17213136,Deltocephalinae,Cicadulini,Stenometopiellus,-,stepposus,Christopher H. Dietrich,6.70%,6.60%,-,08-Jul-2000,Kyrgyzstan: Osh Taldyk Pass,3615m
P007_WF01,SRR17213134,Deltocephalinae,Cicadulini,Cicadula,Cicadula,ornata,Christopher H. Dietrich,2.80%,2.80%,-,18-Jul-2005/19-Jul-2005,"Mongolia: Hovsgol Aimag, Chandmani-Ondor Soum, West branch (unnamed) of Khalkhan Gol",1676m
P007_WF06,SRR17213133,Deltocephalinae,Cicadulini,Elymana,-,kozhevnikovi,Christopher H. Dietrich,4.90%,4.90%,-,17-Jul-2005/18-Jul-2005,"Mongolia: Hovsgol Aimag,  Chandmani-Ondor Soum, Khalkhan Gol, 19.8 km E of Chandmani-Ondor",1220m
P007_WH09,SRR17213132,Deltocephalinae,Cicadulini,Taurotettix,-,beckeri,Christopher H. Dietrich,3.80%,3.80%,-,Jun-2019,Kazakhstan,-
P009_WB09,SRR17213131,Deltocephalinae,Cicadulini,Taurotettix,-,elegans,Christopher H. Dietrich,9.70%,9.70%,-,06-Sep-1998,"Kyrgyzstan: Chuy, Boom Ravine 25 km E Balykchy",1550
P011_WG01,SRR17213130,Deltocephalinae,Cicadulini,Elymana,-,acuma,James N. Zahniser,3.30%,3.30%,-,"15-Jul-2006,","USA: Illinois, S of Muncie",-
P012_WF08,SRR17213129,Deltocephalinae,Cicadulini,Knullana,-,sp.,Christopher H. Dietrich,3.70%,3.60%,-,01-Sep-2018,"Mexico: Jalisco, Tala, Tala",1341m
P014_WA03,SRR17213128,Deltocephalinae,Cicadulini,Rhopalopyx,-,elongata,Christopher H. Dietrich,5.60%,5.60%,-,12-Jun-2017,"Switzerland: Gordola, Reviscai, Riserva Bolle di Magadino",196m
P015_WE06,SRR17213127,Deltocephalinae,Cicadulini,Cicadula,-,sp.,Christopher H. Dietrich,8.90%,8.80%,-,12-Jun-2017,"Switzerland: Gordola, Reviscai, Riserva Bolle di Magadino",196m
P001_WG06,SRR17213126,Deltocephalinae,Bahitini,Brincadorus,-,laticeps,Christopher H. Dietrich,4.10%,4.20%,-,13-Nov-2009,"Bolivia: Santa Cruz Department, nr. Buena Vista",334m
P001_WG08,SRR17213125,Deltocephalinae,Bahitini,Bahita,-,infuscata,Christopher H. Dietrich,4.10%,4.10%,-,13-Nov-2009,"Bolivia: Santa Cruz Department, nr. Buena Vista",334m
P001_WH01,SRR17213123,Deltocephalinae,Bahitini,Taperinha,-,excavata,Christopher H. Dietrich,5.00%,5.00%,-,Feb-2005,"French Guiana: Kaw Mountain Reserve, unpaved logging road, nr. Amazone Lodge",-
P001_WH02,SRR17213122,Deltocephalinae,Bahitini,Kinrentius,-,constrictus,Christopher H. Dietrich,4.00%,4.00%,-,19-Oct-2002,"Peru: Junin, 6 km NW San Ramon",850m
P001_WH11,SRR17213121,Deltocephalinae,Bahitini,Frequenamia,-,clypeata,Christopher H. Dietrich,3.90%,3.90%,-,14-Nov-2009,"Bolivia: Canta Cruz, ca. Buena Vista",390m
P002_WA04,SRR17213120,Deltocephalinae,Bahitini,Bahita,-,lobata,Christopher H. Dietrich,3.70%,3.60%,-,13-Mar-2015,"Brazil: Minas Gerais, Santuario do Caraca, Lobo Guara Trail",1280m
P002_WA07,SRR17213119,Deltocephalinae,Bahitini,Taperinha,-,adspersa,Christopher H. Dietrich,2.30%,2.30%,-,16-Jan-2008,"Argentina: Jujuy, rt 9 km 1706, Finca Yala",1500m
P003_WC04,SRR17213118,Deltocephalinae,Bahitini,Menosoma,-,cinctum,Christopher H. Dietrich,5.20%,5.20%,-,11-Sep-2019,"USA: Illinois, Danville, Vermilion County",-
P004_WE12,SRR17212949,Deltocephalinae,Bahitini,Oxycephalotettix,-,tiputini,James N. Zahniser,3.40%,3.40%,-,07-Feb-1996,"Ecuador: Orellana, Reserva Etnica Waorani",220m
P006_WB03,SRR17212948,Deltocephalinae,Bahitini,Concepciona,-,asper,Christopher H. Dietrich,3.00%,2.90%,-,14-Jan-2014,"Chile: Los Lagos, Senda Darwin Biological Station",-
P006_WG06,SRR17212947,Deltocephalinae,Bahitini,Perubahita,-,longifalx,Christopher H. Dietrich,3.40%,3.40%,-,16-Mar-2015,"Brazil: State of Minas Gerais, Santuario do Caraca, Banho do Belchior",1280m
P006_WG08,SRR17212946,Deltocephalinae,Bahitini,Parabahita,-,compressa,Christopher H. Dietrich,6.20%,6.20%,-,6-Mar-2005/15-Mar-2005,"Peru: San Martin Prov., 23 km S Picota, Concervacion Mun. Zona Barreal",335m
P007_WD04,SRR17212944,Deltocephalinae,Bahitini,Bahita,-,n.sp.,Christopher H. Dietrich,4.00%,3.90%,-,3-Nov-2009,Bolivia: Dpto. Santa Cruz; Reserva Natural Potrerillo del Guenda,-
P007_WE05,SRR17212943,Deltocephalinae,Bahitini,Frequenamia,-,venosula,Christopher H. Dietrich,4.30%,4.30%,-,13-Mar-2015,"Brazil: State of Minas Gerais, Santuario do Caraca, Lobo Guara Trail",1280m
P007_WE06,SRR17212942,Deltocephalinae,Bahitini,Taperinha,-,dozieri,Christopher H. Dietrich,4.70%,4.70%,-,09-Feb-2008,"French Guiana: Kaw Mountain Reserve, Gold Mine Road",-
P007_WG06,SRR17212941,Deltocephalinae,Bahitini,Brincadorus,-,n.sp.,Christopher H. Dietrich,8.00%,8.00%,-,24-Oct-2002,"Peru: Huanuco, 8 km S Tingo Maria, Pte. Cuevas",670m
P008_WC08,SRR17212940,Deltocephalinae,Bahitini,Huachia,-,n.sp.,Christopher H. Dietrich,3.20%,3.20%,-,14-Sep-2009/17-Sep-2009,"Peru: Ancash Region, 2 km NW Carhuaz, Bruja Amanan",2730m
P011_WG02,SRR17212939,Deltocephalinae,Bahitini,Menosoma,-,sp.,James N. Zahniser,1.80%,1.80%,-,26-Oct-2002,"Peru: Huanuco, 5km S Tingo Maria, Pte. Monzon",600m
P012_WG05,SRR17212938,Deltocephalinae,Bahitini,Frequenamia,-,guerrera,Christopher H. Dietrich,3.80%,3.80%,-,01-Oct-2018,"Mexico: Guerrero, Tepecuacuilco de Trujano, Tepecoacuilco",832m
P001_WF06,SRR17212937,Deltocephalinae,Mukariini,Mukaria,-,maculata,Christopher H. Dietrich,9.00%,9.00%,-,19-Apr-2007/26-Apr-2007,"Thailand: Chaiyaphum, Tat Tone National Park, Watershed station 2",271m
P001_WG01,SRR17212936,Deltocephalinae,Mukariini,Agrica,-,arisana,Christopher H. Dietrich,2.40%,2.40%,-,15-Jun-2004,"China: Taiwan, Nantou, Yuanfeng",-
P002_WB06,SRR17212935,Deltocephalinae,Mukariini,Scaphotettix,-,striatus,Christopher H. Dietrich,8.20%,8.10%,-,31-Jul-2006/07-Aug-2006 ,"Thailand: Phetchabun Nam Nao National Park, Tham Pra Laad Forest Unit",711m
P002_WB12,SRR17212933,Deltocephalinae,Mukariini,Flatfronta,-,pronga,Christopher H. Dietrich,3.00%,3.00%,-,20-Sep-2017,"China: Guangxi, ca. Qinbei, Bazhaigou Scenic Spot",90m
P003_WF02,SRR17212932,Deltocephalinae,Mukariini,Mohunia,-,sp.,Christopher H. Dietrich,5.10%,5.10%,-,19-Mar-2007/26-Mar-2007,"Thailand: Chaiyaphum, Tat Tone National Park, Oficer house at Tat Fah waterfall",242m
P004_WB04,SRR17212931,Deltocephalinae,Mukariini,Pseudobalbillus,-,protrudens,James N. Zahniser,8.60%,8.60%,-,13-May-2001,"Central African Republic: Sangha-Mbaere Prefecture, Dzanga-Sangha Dense Forest Special Reserve",-
P006_WA10,SRR17212930,Deltocephalinae,Mukariini,n.gen.CN1,-,n.sp.1,Christopher H. Dietrich,4.00%,4.00%,-,21-Oct-2011,"China: Shaanxi, Yangling, Northwest A&F University Campus",-
P006_WC01,SRR17212929,Deltocephalinae,Mukariini,n.gen.T1,-,n.sp.1,Christopher H. Dietrich,7.00%,7.00%,-,7-Aug-2006/14-Aug-2006,"Thailand: Phetchabun, Nam Nao NP Tham Pra Laad Forest Unit",711m
P007_WA12,SRR17212928,Deltocephalinae,Mukariini,n.gen.T2,-,n.sp.1,Christopher H. Dietrich,5.00%,5.00%,-,10-Feb-2007/17-Feb-2007,"Thailand: Ubon Ratchathani, Pha Taem National Park, Don Rong pond",250m
P008_WE12,SRR17212927,Deltocephalinae,Mukariini,Neomohunia,-,n.sp.,Christopher H. Dietrich,5.50%,5.50%,-,18-Sep-2006/25-Sep-2006,"Thailand: Loei, Phu Kradueng National Park",274m
P009_WA09,SRR17212926,Deltocephalinae,Mukariini,Mohunia,-,n.sp.,Christopher H. Dietrich,6.40%,6.40%,-,25-Feb-2007/01-Mar-2007,"Thailand: Loei, Phu Kradueng National Park, Forest protection unit Loei .5 (Phakbung)",412m
P012_WD10,SRR17212925,Deltocephalinae,Mukariini,Mukaria,-,n.sp.T1,Christopher H. Dietrich,4.20%,4.20%,-,31-Aug-2007/07-Sep-2007,"Thailand: Chiang Mai, Huai Nam Dang National Park, behind visitor house",1670m
P012_WE02,SRR17212924,Deltocephalinae,Mukariini,Mukaria,-,n.sp.T3,Christopher H. Dietrich,2.60%,2.60%,-,31-Aug-2008/08-Sep-2008,"Thailand: Surat Thani, Khao Sok National Park, Klong Morg Unit",87m
P014_WC03,SRR17212922,Deltocephalinae,Mukariini,Scaphotettix,-,viridis,Christopher H. Dietrich,1.90%,1.90%,Rhapis excelsa,20-Jun-2019,"China: Taiwan, Taichung, Qingshui, Freeway #3 rest area",100m
P014_WF04,SRR17212921,Deltocephalinae,Mukariini,Mohunia,-,splendens,Christopher H. Dietrich,9.40%,9.40%,-,25-Dec-2006/01-Jan-2007,"Thailand: Ubon Ratchathani, Pha Taem National Park foot of Phu Kra jeaw",238m
P015_WG03,SRR17212920,Deltocephalinae,Mukariini,n.gen.CN2,-,n.sp.1,Christopher H. Dietrich,1.70%,1.70%,-,19-Sep-2017 ,"China: Guangxi, ca. Qinbei Bazhaigou Scenic Spot",60m
P015_WG09,SRR17212919,Deltocephalinae,Mukariini,Flatfronta,-,n.sp.,James N. Zahniser,9.00%,9.00%,-,17-Feb-2007/25-Feb-2007,"Thailand: Sakon Nakhon, Phu Phan NP, Behind forest protection unit at Huay Wien Prai",-
P015_WH09,SRR17212918,Deltocephalinae,Mukariini,Mukaria,-,n.sp.T2,Christopher H. Dietrich,10.70%,10.70%,-,09-Mar-2007/15-Mar-2007,"Thailand: Chaiyaphum, Pa Hin Ngam National Park",673
P001_WA02,SRR17212917,Deltocephalinae,Bonaspeiini,Bonaspeia,-,eriocephalus,Christopher H. Dietrich,10.30%,10.30%,-,07-Dec-2004,"South Africa: Western Cape Prov., Blaauwberg Hill",231.2m
P001_WB03,SRR17212916,Deltocephalinae,Bonaspeiini,Tzitzikamaia,-,irrorata,Christopher H. Dietrich,4.60%,4.60%,-,11-Dec-2004 ,"South Africa: Western Cape Prov., De Hoop National Reserve",19.6m
P001_WB04,SRR17212915,Deltocephalinae,Bonaspeiini,Renosteria,-,waverena,Christopher H. Dietrich,8.10%,8.10%,-,07-Dec-2004,"South Africa: Western Cape, Blaauwberg Hill",231m
P001_WD05,SRR17212914,Deltocephalinae,Bonaspeiini,Curvostylus,-,chloridulus,Christopher H. Dietrich,13.50%,13.40%,-,16-Dec-2004,"South Africa: Western Cape, Wemmershoek Dam, N Fraschhoek",257m
P001_WD06,SRR17212913,Deltocephalinae,Bonaspeiini,Gcaleka,-,acuta,Christopher H. Dietrich,9.50%,9.50%,-,15-Dec-2004,"South Africa: Western Cape, Du Toitskloof Pass",836m
P003_WE02,SRR17212910,Deltocephalinae,Bonaspeiini,Bloemia,-,n.sp.A,Christopher H. Dietrich,8.80%,8.80%,-,20-Nov-1999,"South Africa: Western Cape, 3 km S Uniondale",610m
P004_WE03,SRR17212909,Deltocephalinae,Bonaspeiini,Cerus,-,goudanus,James N. Zahniser,5.70%,5.70%,-,07-Dec-2004,"South Africa: Western Cape, Blaauwberg Hill",231.2m
P005_WH07,SRR17212908,Deltocephalinae,Bonaspeiini,Kimbella,-,apicurva,Christopher H. Dietrich,1.00%,1.00%,-,12-Dec-2004,"South Africa: Western Cape, De Hoop Nature Reserve",177m
P005_WH08,SRR17212907,Deltocephalinae,Bonaspeiini,Caffrolix,-,cyclopia,Christopher H. Dietrich,6.70%,6.70%,-,07-Dec-2004,"South Africa: Western Cape, Somerset West",88m
P006_WA08,SRR17212906,Deltocephalinae,Bonaspeiini,n.gen.SA5,-,sp.,Christopher H. Dietrich,3.80%,3.80%,-,20-Nov-1999/24-Nov-1999,"South Africa: Western Cape, 11 km SW Willowmore on hwy R90",920m
P006_WD10,SRR17212905,Deltocephalinae,Bonaspeiini,n.gen.SA2,-,n.sp.,Christopher H. Dietrich,3.20%,3.20%,-,12-Dec-2004,"South Africa: Western Cape, De Hoop Nature Reserve",177m
P006_WD11,SRR17212904,Deltocephalinae,Bonaspeiini,n.gen.SA3,-,n.sp.,Christopher H. Dietrich,4.90%,4.90%,-,10-Dec-2004,"South Africa: Western Cape, Cape of Good Hope Nature Reserve",54m
P007_WB01,SRR17212903,Deltocephalinae,Bonaspeiini,n.gen.SA6,-,n.sp.1,Christopher H. Dietrich,5.80%,5.80%,-,16-Dec-2004,"South Africa: Western Cape Prov., Theewaterskloof Dam, Franschhoek-Villiersdorp Road",328m
P007_WB05,SRR17212902,Deltocephalinae,Bonaspeiini,Johanus,-,sp.,Christopher H. Dietrich,2.80%,2.80%,-,09-Dec-2004  ,"South Africa: Western Cape Prov., Vishoek",85.4m
P007_WH05,SRR17212781,Deltocephalinae,Bonaspeiini,Tzitzikamaia,-,n.sp.,Christopher H. Dietrich,5.20%,5.20%,-,26-Dec-2004,"South Africa: KwaZulu-Natal Prov., SE of Kamberg",1783m
P008_WA01,SRR17212779,Deltocephalinae,Bonaspeiini,Geelus,-,n.sp.,Christopher H. Dietrich,8.80%,8.80%,-,12-Dec-2004,"South Africa: Western Cape, Leipzig Farm",314m
P008_WC09,SRR17212778,Deltocephalinae,Bonaspeiini,Kaapia,-,n.sp.1,Christopher H. Dietrich,9.00%,9.00%,-,03-Oct-2004/24-Oct-2004,"South Africa: Western Cape, 43 km N Matjiesfontein",970m
P008_WE10,SRR17212777,Deltocephalinae,Bonaspeiini,Hadroca,-,ramosa,Christopher H. Dietrich,3.70%,3.70%,-,08-Dec-2004,"South Africa: Western Cape Prov., Driftsands Nature Reserve",-
P009_WE01,SRR17212776,Deltocephalinae,Bonaspeiini,Capeolix,-,n.sp.,Christopher H. Dietrich,33.30%,33.20%,-,01-Oct-2004/23-Oct-2004,"South Africa: Western Cape, 7 km E Ladismith",520m
P009_WF01,SRR17212775,Deltocephalinae,Bonaspeiini,Bloemia,-,n.sp.,Christopher H. Dietrich,10.70%,10.70%,-,03-Oct-2004/24-Oct-2004,"South Africa: Western Cape, 43 km N Matjiesfontein",970m
P011_WA07,SRR17212774,Deltocephalinae,Bonaspeiini,n.gen.SA1,-,sp.,Christopher H. Dietrich,7.20%,7.20%,-,02-Oct-2004/23-Oct-2004,"South Africa: Western Cape, top of Swartberg Pass",-
P001_WD04,SRR17212773,Deltocephalinae,Penthimiini,Neodartus,-,vinulus,Christopher H. Dietrich,7.60%,7.60%,-,20-Nov-1999,"South Africa: Western Cape, 3 km S Uniondale",610m
P001_WE07,SRR17212772,Deltocephalinae,Penthimiini,Penthimia,-,americana,Christopher H. Dietrich,2.70%,2.70%,-,28-Jun-2016,"USA: Wisconsin Burnett County, 7.8km N Grantsburg",-
P001_WF12,SRR17212771,Deltocephalinae,Penthimiini,Thaumatoscopus,-,galeatus,Christopher H. Dietrich,3.00%,3.00%,-,11-Mar-2011/12-Mar-2011,"Australia: Queensland, Daintree National Park",-
P001_WH05,SRR17212770,Deltocephalinae,Penthimiini,Eovulturnops,-,selenocephaloides,Christopher H. Dietrich,4.00%,4.00%,-,Feb-2005,"French Guiana: Kaw Mountain Reserve, unpaved logging road, nr. Amazone Lodge",-
P002_WC11,SRR17212768,Deltocephalinae,Penthimiini,Platyscopus,-,badius,Christopher H. Dietrich,3.50%,3.40%,-,30-Dec-2008,"Australia: Queensland, ~26km E of Bollon, ~92km W of St George",197m
P003_WF05,SRR17212767,Deltocephalinae,Penthimiini,Vulturnus,-,vulturnus,Christopher H. Dietrich,2.80%,2.80%,-,28-Feb-2015,"Australia: Queensland, Mt. Bartle Frere trailhead ",-
P003_WF06,SRR17212766,Deltocephalinae,Penthimiini,Tolasella,-,n.sp.,Christopher H. Dietrich,3.80%,3.80%,-,18-Feb-2009,"Australia: Western Australia, 11.5 km N Cue",431m
P004_WB09,SRR17212765,Deltocephalinae,Penthimiini,Penthimidia,-,eximia,James N. Zahniser,4.70%,4.70%,-,13-Oct-2008,"Republic of Congo: Iboubikro, Lesio-Loun Park",340m
P004_WC07,SRR17212764,Deltocephalinae,Penthimiini,Jafar,-,javeti,James N. Zahniser,3.40%,3.30%,-,14-Jun-2005,"Togo: Sotouboua Region, border of Kyabobo National Park, Koue village road",250m
P005_WG06,SRR17212763,Deltocephalinae,Penthimiini,Chinaella,-,cudmorei,Christopher H. Dietrich,2.10%,2.00%,-,2010,"Australia: Western Australia, ~4km S of Bolgart. Syred Rd Jct",-
P005_WG11,SRR17212762,Deltocephalinae,Penthimiini,Reticuluma,-,dactyla,Christopher H. Dietrich,2.90%,2.90%,bamboo,17-Jul-2018,"China: Shaanxi, Yangling, Northwest A&F University Campus",478m
P007_WA05,SRR17212761,Deltocephalinae,Penthimiini,Ledroides,-,n.sp.,Christopher H. Dietrich,5.30%,5.30%,-,09-May-2012,Philippines: Iligan City,29m
P007_WC07,SRR17212760,Deltocephalinae,Penthimiini,n.gen.T1,-,n.sp.1,Christopher H. Dietrich,3.80%,3.80%,-,07-Oct-2007/14-Oct-2007,"Thailand: Chiang Mai, Doi Chiang Dao WS Nature trail",491m
P007_WC08,SRR17212759,Deltocephalinae,Penthimiini,n.gen.T2,-,n.sp.1,Christopher H. Dietrich,5.70%,5.60%,-,05-Mar-2007/12-Mar-2007,"Thailand: Loei, Phu Ruea National Park, Sa Sawan",1352m
P007_WC09,SRR17213237,Deltocephalinae,Penthimiini,Haranga,-,sp.,Christopher H. Dietrich,6.40%,6.40%,-,01-Dec-2008/07-Dec-2008,"Thailand: Suphanburi, Pu Toei National Park, car park/Huai Tapern",-
P007_WD01,SRR17213236,Deltocephalinae,Penthimiini,Ectopiocephalus,-,australis,Christopher H. Dietrich,4.50%,4.40%,-,28-Feb-2008 ,"Australia: Queensland, 121km W of Winton, 48.1km E of Middleton on Kennedy Developmental Road",187m
P008_WH02,SRR17213235,Deltocephalinae,Penthimiini,n.gen.MG1,-,n.sp.1,Christopher H. Dietrich,6.90%,6.90%,-,04-May-2009/14-May-2009,"Madagascar: Tulear, Vitambany Forest, 5 km N of  Ampotaka",86m
P009_WA06,SRR17213234,Deltocephalinae,Penthimiini,n.gen.ML1,-,n.sp.1,Christopher H. Dietrich,13.60%,13.60%,-,17-Jan-2009,"Malaysia: Sarawak, Gunung Mulu National Park, Camp 1",207m
P009_WA07,SRR17213233,Deltocephalinae,Penthimiini,Vulturnus,-,dido,Christopher H. Dietrich,7.10%,7.10%,-,15-Jun-2004,"Fiji: Vanua Levu, Bua, 6 km NW Kilaka",-
P009_WB07,SRR17213232,Deltocephalinae,Penthimiini,Penthimia,-,sp.,Christopher H. Dietrich,11.30%,11.20%,-,05-Dec-2006/06-Dec-2006,"Thailand: Chaiyaphum, Tat Tone National Park, Chaiyapoom forest fire station",195m
P009_WC04,SRR17213231,Deltocephalinae,Penthimiini,Musosa,-,aeaea,Christopher H. Dietrich,20.10%,20.00%,-,19-Apr-2006/01-May-2006,"Zambia: Copperbelt Province, Kitwe District, Kumasamba Lodge nr. Kafue River",-
P009_WG02,SRR17213230,Deltocephalinae,Penthimiini,Ledroides,-,n.sp.2,Christopher H. Dietrich,6.00%,6.00%,-,17-Jan-2009,"Malaysia: Sarawak, Gunung Mulu National Park, Camp 1",207m
P014_WF10,SRR17213229,Deltocephalinae,Penthimiini,Neodartus,-,acocephaloides,Christopher H. Dietrich,5.30%,5.30%,-,30-Apr-2012,"Philippines: Mindanao, Malasag Eco-Village, SW side of Cagayan de Oro",-
P014_WG11,SRR17213228,Deltocephalinae,Penthimiini,Penthimiola,-,n.sp.,Christopher H. Dietrich,11.20%,11.20%,-,08-Sep-2012/17-Sep-2012,"Madagascar: Tulear, Ambohimahavelona village",45m
P002_WA02,SRR17213226,Deltocephalinae,Deltocephalini,Cortona,-,minuta,Christopher H. Dietrich,10.10%,10.10%,-,13-Feb-2014,"Argentina: Entre Rios, Parque Nacional El Palmar, Mirador Los Loros",-
