Row Sort,Column Sort,RAPiD Genomics Sample Code,Unique Client Code,Ct value,Assembly quality,# phyt_protein-coding genes,,# phyt_barcode_gene,,# other_phyt_gene,,# plant_barcode_gene,,RAPiD Genomics Lab Use ONLYConcentration (ng / uL),RAPiD Genomics Lab Use ONLYTotal DNA (ng),Concentration (ng / uL),Volume (uL),ul,eluition,16Sr assignment,Tuf,SecA,SecY,rpIV-rpsC,groEl,amp gene,other rp,Dnak,ffh,ftsY,GroES,GrpE,imp,yidC,vmp,Subfamily,Tribe,subtribe,Genus,species,Country,,,,,,,,,
74,15,ILL_137402_P001_WG02,Q*,28.3,bad,9,5,3,7,3,2,3,75,21.67550334,758.6426168,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,23,ILL_137402_P001_WG03,CHI 005,31.8,bad,14,8,2,5,9,7,3,75,10.87804763,380.7316669,1,35,,,16SrIII,oBa,,,,,,,,,,,,,,,Deltocephalinae,Chiasmini,,Exitianus,obscurinervis,Peru,,,,,,,,,
76,31,ILL_137402_P001_WG04,3-50.1,,no data,no data,,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,go back to original samples for extraction,,,,,,,,,,,,,,
77,39,ILL_137402_P001_WG05,46-9.1,,bad,14,8,4,9,8,6,2,50,2.467176576,86.35118015,1,35,,,,oBa,,,,I,,rpIB,,,,,,,,,Deltocephalinae,Opsiini,Opsiina,Hishimonus,pallidus,"THAILAND Ubon Ratchathani   
Pha Taem NP Rong Hi  
15º40.016'N105º30.502'E 246m
Malaise trap 14-21.i.2007
Thongkam & Pakdee leg. T1480 ",,,,,,,,,
78,47,ILL_137402_P001_WG06,46-8.1,,bad,8,4,2,5,3,2,3,75,13.28565946,464.9980813,1,35,,,,,,,I,,,rpIB,,,,,,,,,Deltocephalinae,Opsiini,Opsiina,Paralampridius,sinuatus,THAILAND Nakhon Si Thammarat  Namtok Yong NP Klong Jang waterfall  8º16.283'N99º38.702'E 154mMalaise trap 19-26.i.2009Samnaokan;S. leg. T4310 ,,,,,,,,,
79,55,ILL_137402_P001_WG07,46-65.1,,bad,1,1,0,0,0,0,1,25,9.553335436,334.3667403,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,63,ILL_137402_P001_WG08,51-29.2,,bad,8,4,2,5,6,5,0,0,0.133159859,4.660595069,1,35,,,16SrXIV-D,,oBa,,,,,,,,,,,,,,Deltocephalinae,Scaphoideini,,Diemoides,n. sp. 1,"AUSTRALIA: QLDBrisbane, Mt. Coot-thaReservoir Trail27.4619ºS152.9546ºE 194m 21 Feb 2015CH Dietrich, Hg vapor lightAU15-06-2",,,,,,,,,
81,71,ILL_137402_P001_WG09,41-53.1,,bad,11,6,3,7,5,4,3,75,0.52741944,18.45968039,1,35,,,,oBa,,,,,,rpIB,,,,,,,,,Deltocephalinae,Opsiini,,New Genus ML1,n. sp. 1,"Malaysia:Sarawak; Gunung Mulu National Park, near hdqtrs; 04.04.25-114.81.38; 5-26 Jan 2009;S. Krishnankutty",,,,,,,,,
82,79,ILL_137402_P001_WG10,DEL-011,25.85,good,106,59,13,30,91,68,2,50,1.105666824,38.69833885,,,,,new group,XXI,IV,IV,IV,IV,,rpIB/rpIO/rpIP,,,,,,,,,Deltocephalinae,Opsiini,,Alishania,formosana,Taiwan,"24°07'12.0""N",,"121°14'22.0""E",,2700,,,"Nantou Yuanfeng, Rt.14 km",
83,87,ILL_137402_P001_WG11,De30,29.25,bad,40,22,5,12,33,25,2,50,9.705782474,339.7023866,,,,,16SrXI-G ,V,XI,,,XI,,rpIP,,,,,,,,,Deltocephalinae,Limotettigini,,Limotettix (Neodrylix),urnura,Canada,,,,,,,,,
