Row Sort,Column Sort,RAPiD Genomics Sample Code,Unique Client Code,Ct value,Assembly quality,# phyt_protein-coding genes,,# phyt_barcode_gene,,# other_phyt_gene,,# plant_barcode_gene,,RAPiD Genomics Lab Use ONLYConcentration (ng / uL),RAPiD Genomics Lab Use ONLYTotal DNA (ng),Concentration (ng / uL),Volume (uL),ul,eluition,16Sr assignment,Tuf,SecA,SecY,rpIV-rpsC,groEl,amp gene,other rp,Dnak,ffh,ftsY,GroES,GrpE,imp,yidC,vmp,Subfamily,Tribe,subtribe,Genus,species,Country,,,,,,,,,
17,34,ILL_137402_P001_WB05,7-3.1(2),24.62,good,121,67,14,33,105,79,2,50,14.89423855,521.2983494,1,35,,,,XI,XI,XI,XI,XI,,rpIB/rpIO/rpIP/rpsS,,,,,,,,,Deltocephalinae,Chiasmini,,Gurawa,minorcephala,,,,,,,,,,
18,42,ILL_137402_P001_WB06,5-48.1,34.03,bad,5,3,0,0,2,2,3,75,20.82390264,728.8365925,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,50,ILL_137402_P001_WB07,5-50.1,34.39,bad,15,8,4,9,9,7,2,50,13.51695842,473.0935447,1,35,,,,oBa,oBa,,,,,rpIB/rpIO/rpIP,,,,,,,,,Deltocephalinae,Hecalini,Hecalina,Fangamanus,tripunctatus,"CHINA:Shaanxi, 8km ENE Chenhexiang, 33.98133N  108.16384E 12 Jul 2012, C.H.Dietrich, vacuum",,,,,,,,,
20,58,ILL_137402_P001_WB08,42-48.1,33.49,bad,21,12,4,9,15,11,2,50,1.258113862,44.03398518,1,35,,1,,I,,,,,,,,,,,,,,,Deltocephalinae,Opsiini,Opsiina,Navaia,filicola,Fiji,"Viti Levu Isl. Rewa Prov. 3.8 km W Veisari. Waivudawa Log Rd. 25.iv.-25.v.2003 malaise 300m Schlinger, Tokota’a FJVL10b_W02-09

-18.0792º 178.3625º",,,,,,,,
21,66,ILL_137402_P001_WB09,42-52.1,33.08,bad,2,1,0,0,0,0,2,50,22.16438522,775.7534826,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,74,ILL_137402_P001_WB10,42-53.1,31.69,bad,23,13,1,2,21,16,1,25,12.2185302,427.648557,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,82,ILL_137402_P001_WB11,42-70.1,32.4,bad,1,1,0,0,0,0,1,25,22.77943016,797.2800557,1,35,,,16SrXI,,,,,,,,,,,,,,,,Deltocephalinae,Pendarini,,Texananus (Excultanus),excultus,"USA: NC, Avery Co. ca. Newland 36.07ºN 81.94ºW 26 July 2021 C.H.Dietrich, lights",,,,,,,,,
24,90,ILL_137402_P001_WB12,50-4.1,33.85,bad,8,4,1,2,4,3,3,75,14.68396678,513.9388372,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3,ILL_137402_P001_WC01,50-28.1,32.18,bad,7,4,1,2,3,2,3,75,10.9989539,384.9633864,1,35,,,,oBa,,,,,,,,,,,,,,,Deltocephalinae,Pendarini,,Chlorotettix,sp.,"BRAZIL: MG, Santuariodo Caraça, 20.09274ºS 43.49905ºW1300m 13 Mar 2015CH Dietrich, vacuum cerrado, BR15-02-",,,,,,,,,
26,11,ILL_137402_P001_WC02,38-14.1,32.78,bad,4,2,2,5,1,1,1,25,10.75188456,376.3159596,1,35,,,,oBa,oBa,,,,,,,,,,,,,,Ulopinae,Ulopini,,Conlopa,bredoni,Swaziland TAC 2009/301,,,,,,,,,
27,19,ILL_137402_P001_WC03,50-9.1,34.28,bad,2,1,0,0,0,0,2,50,6.982762971,244.396704,1,35,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,27,ILL_137402_P001_WC04,41-52.1,34.32,bad,10,6,0,0,7,5,3,75,11.17242811,391.034984,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,35,ILL_137402_P001_WC05,35-68.1,34.7,bad,4,2,1,2,2,2,1,25,0.054307943,1.900778006,1,35,30,2,,,,,,,,rpIO,,,,,,,,,,,,,,,,,,,,,,,
30,43,ILL_137402_P001_WC06,42-72.1,34.28,no data,no data,,,0,,0,,0,22.30106187,780.5371655,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,51,ILL_137402_P001_WC07,38-34.1,27.3,bad,13,7,1,2,8,6,4,100,4.280770646,149.8269726,1,35,25,2,16SrIII,,,,,,,,,,,,,,,,Eurymelinae,Chiasmodolini,,Rotundicerus,n. sp.,Fr. Guiana 1 H. Romack 2008,,,,,,,,,
32,59,ILL_137402_P001_WC08,42-58.1,31.13,bad,3,2,0,0,1,1,2,50,18.45834516,646.0420806,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,67,ILL_137402_P001_WC09,42-52.1,32.5,bad,11,6,1,2,8,6,2,50,6.478110708,226.7338748,1,35,30,1,16SrXI,,,,,,,,,,,,,,,,Deltocephalinae,Scaphoideini,,New Genus PH2,n. sp. 1,"PHILIPPINES: Mindanao, Bukidnon, 
Mt. Kitanglad summit trail 8º9.63'N
124º55.90'E 1885m 1 April 2012
T.A. Catanach, TAC 2012035",,,,,,,,,
34,75,ILL_137402_P001_WC10,45-18.1,33.69,bad,4,2,0,0,2,2,2,50,23.41024549,819.3585922,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
