SampleName,InsectTreeName,Type,SpecimenIdentification,TopSpecies,TopGenus,TopOrder,TopFamily,PlantTreeName,status
P001_WE11,OpsiiniDixianusutahnus,MatchedInsectTreewGenusSpecies,OpsiiniDixianusutahnus,spontaneum,Saccharum,Poales,Poaceae,Saccharum_spontaneum,prune
P001_WB02,DeltocephaliniGraminellanigripennis,MatchedInsectTreewTribeGenus,DeltocephaliniGraminellasonora,orientale,Xanthium,Asterales,Asteraceae,Xanthium_orientale,bind
P001_WB02,DeltocephaliniGraminellanigripennis,MatchedInsectTreewTribeGenus,DeltocephaliniGraminellasonora,cordata,Drymaria,Caryophyllales,Caryophyllaceae,Drymaria_cordata,prune
P001_WB02,DeltocephaliniGraminellanigripennis,MatchedInsectTreewTribeGenus,DeltocephaliniGraminellasonora,hybrid,Saccharum,Poales,Poaceae,Saccharum_hybrid,bind
P001_WB02,DeltocephaliniGraminellanigripennis,MatchedInsectTreewTribeGenus,DeltocephaliniGraminellasonora,pellucida,Peperomia,Piperales,Piperaceae,Peperomia_pellucida,prune
P001_WA04,ParalimniniPhlebiastesPhlebiastestianshanica,MatchedInsectTreewGenusSpecies,ParalimniniPhlebiastestianshanica,lycopersicum,Solanum,Solanales,Solanaceae,Solanum_lycopersicum,prune
P001_WB10,BahitiniTaperinhaexcavata,MatchedInsectTreewTribeGenus,BahitiniTaperinhaadspera,aqueum,Syzygium,Myrtales,Myrtaceae,Syzygium_aqueum,prune
P001_WB10,BahitiniTaperinhaexcavata,MatchedInsectTreewTribeGenus,BahitiniTaperinhaadspera,chinensis,Sambucus,Dipsacales,Adoxaceae,Sambucus_chinensis,bind
P001_WB10,BahitiniTaperinhaexcavata,MatchedInsectTreewTribeGenus,BahitiniTaperinhaadspera,papuana,Opocunonia,Oxalidales,Cunoniaceae,Opocunonia_papuana,prune
P001_WC10,BonaspeiiniCurvostyluschloridulus,MatchedInsectTreewGenusSpecies,BonaspeiiniCurvostyluschloridulus,alba,Morus,Rosales,Moraceae,Morus_alba,prune
P001_WC11/P001_WD01,ParalimniniCoganusbreviatus,MatchedInsectTreewGenusSpecies,BonaspeiiniCoganusbreviatus,hybrid,Saccharum,Poales,Poaceae,Saccharum_hybrid,bind
P001_WC11/P001_WD01,ParalimniniCoganusbreviatus,MatchedInsectTreewGenusSpecies,BonaspeiiniCoganusbreviatus,spontaneum,Saccharum,Poales,Poaceae,Saccharum_spontaneum,prune
